male_sentence,female_sentence,options,correct_option
"A 67-year-old man presents to his primary care physician for a wellness checkup. The patient states he has been doing well and currently has no concerns. The patient's daughter states that she feels he is abnormally fatigued and has complained of light-headedness whenever he gardens. He also admits that he fainted once. The patient has a past medical history of type II diabetes, hypertension, and constipation. He recently had a ""throat cold"" that he recovered from with rest and fluids. His temperature is 98.9°F (37.2°C), blood pressure is 167/98 mmHg, pulse is 90/min, respirations are 12/min, and oxygen saturation is 99% on room air. Physical exam reveals a systolic murmur heard best along the right upper sternal border. An ECG is performed and demonstrates no signs of ST elevation. Cardiac troponins are negative. Which of the following is the most likely diagnosis?","A 67-year-old woman presents to her primary care physician for a wellness checkup. The patient states she has been doing well and currently has no concerns. The patient's son states that he feels she is abnormally fatigued and has complained of light-headedness whenever she gardens. She also admits that she fainted once. The patient has a past medical history of type II diabetes, hypertension, and constipation. She recently had a ""throat cold"" that she recovered from with rest and fluids. Her temperature is 98.9°F (37.2°C), blood pressure is 167/98 mmHg, pulse is 90/min, respirations are 12/min, and oxygen saturation is 99% on room air. Physical exam reveals a systolic murmur heard best along the right upper sternal border. An ECG is performed and demonstrates no signs of ST elevation. Cardiac troponins are negative. Which of the following is the most likely diagnosis?","['Autoimmune valve destruction', 'Bicuspid valve', 'Calcification of valve leaflets', 'Incompetent valve', 'Outflow tract obstruction']",2
"A 55-year-old man presents to the office complaining of leg ulcers for the past 6 months. He has a chronic history of severe rheumatoid arthritis controlled with methotrexate. He does not drink alcohol or smoke cigarettes. His vitals are normal. His lungs are clear to auscultation. The abdomen is soft and non-tender with a palpable spleen tip on inspiration. Skin examination shows scattered ulcers on the legs in various stages of healing. Additionally, metacarpophalangeal and proximal interphalangeal joints are tender. Varicose veins are not observed. Laboratory results are as follows:
Hemoglobin  10.5 g/dL
MCV 74 fl
Platelets 226,000/mm3
White blood cells 2500 /mm3
Neutrophils 20%
Alanine 36/UL
Aminotransaminase aspartate 39/UL
Aminotransaminase creatinine 1.0 mg/dL
HIV test is negative. Which of the following is the most likely cause of this patient’s condition?","A 55-year-old woman presents to the office complaining of leg ulcers for the past 6 months. She has a chronic history of severe rheumatoid arthritis controlled with methotrexate. She does not drink alcohol or smoke cigarettes. Her vitals are normal. Her lungs are clear to auscultation. The abdomen is soft and non-tender with a palpable spleen tip on inspiration. Skin examination shows scattered ulcers on the legs in various stages of healing. Additionally, metacarpophalangeal and proximal interphalangeal joints are tender. Varicose veins are not observed. Laboratory results are as follows:
Hemoglobin  10.5 g/dL
MCV 74 fl
Platelets 226,000/mm3
White blood cells 2500 /mm3
Neutrophils 20%
Alanine 36/UL
Aminotransaminase aspartate 39/UL
Aminotransaminase creatinine 1.0 mg/dL
HIV test is negative. Which of the following is the most likely cause of this patient’s condition?","['Venous stasis and valve insufficiency', 'Felty syndrome', 'Drug toxicity', 'Vitamin deficiency', 'Caplan syndrome']",1
"A previously healthy 10-day-old infant is brought to the emergency department by his mother because of episodes of weakness and spasms for the past 12 hours. His mother states that he has also had difficulty feeding and a weak suck. He has not had fever, cough, diarrhea, or vomiting. He was born at 39 weeks' gestation via uncomplicated vaginal delivery at home. Pregnancy was uncomplicated. The mother refused antenatal vaccines out of concern they would cause side effects. She is worried his symptoms may be from some raw honey his older sister maybe inadvertently fed him 5 days ago. He appears irritable. His temperature is 37.1°C (98.8°F). Examination shows generalized muscle stiffness and twitches. His fontanelles are soft and flat. The remainder of the examination shows no abnormalities. Which of the following is the most likely causal organism?","A previously healthy 10-day-old infant is brought to the emergency department by her father because of episodes of weakness and spasms for the past 12 hours. Her father states that she has also had difficulty feeding and a weak suck. She has not had fever, cough, diarrhea, or vomiting. She was born at 39 weeks' gestation via uncomplicated vaginal delivery at home. Pregnancy was uncomplicated. The father refused antenatal vaccines out of concern they would cause side effects. He is worried her symptoms may be from some raw honey her older brother maybe inadvertently fed her 5 days ago. She appears irritable. Her temperature is 37.1°C (98.8°F). Examination shows generalized muscle stiffness and twitches. Her fontanelles are soft and flat. The remainder of the examination shows no abnormalities. Which of the following is the most likely causal organism?","['Clostridium botulinum', 'Clostridium tetani', 'Neisseria meningitidis', 'Listeria monocytogenes', 'Escherichia coli\n""']",1
A 14-year-old boy presents to his pediatrician with a 5-day history of abdominal pain and bloody stool. He denies having a fever and says that he has not experienced any other symptoms associated with the abdominal pain. He has no past medical history and does not take any medications or supplements. His family history is significant for a grandfather who developed Alzheimer disease at age 80 and a cousin who died at age 21 from colon cancer. Physical exam is unremarkable. Based on clinical suspicion a colonoscopy is obtained showing hundreds of small polyps in the colon. A mutation of a gene on which of the following chromosomes is most likely responsible for this patient's symptoms?,A 14-year-old girl presents to her pediatrician with a 5-day history of abdominal pain and bloody stool. She denies having a fever and says that she has not experienced any other symptoms associated with the abdominal pain. She has no past medical history and does not take any medications or supplements. Her family history is significant for a grandmother who developed Alzheimer disease at age 80 and a cousin who died at age 21 from colon cancer. Physical exam is unremarkable. Based on clinical suspicion a colonoscopy is obtained showing hundreds of small polyps in the colon. A mutation of a gene on which of the following chromosomes is most likely responsible for this patient's symptoms?,"['5', '7', '17', '19', 'X']",0
"A 72-year-old man presents to the emergency department when he discovered a large volume of blood in his stool. He states that he was going to the bathroom when he saw a large amount of bright red blood in the toilet bowl. He was surprised because he did not feel pain and felt it was a normal bowel movement. The patient has a past medical history of diabetes, obesity, hypertension, anxiety, fibromyalgia, diabetic nephropathy, and schizotypal personality disorder. His current medications include atorvastatin, lisinopril, metformin, insulin, clonazepam, gabapentin, sodium docusate, polyethylene glycol, fiber supplements, and ibuprofen. His temperature is 99.5°F (37.5°C), blood pressure is 132/84 mmHg, pulse is 80/min, respirations are 11/min, and oxygen saturation is 96% on room air. On physical exam, the patient's cardiac exam reveals a normal rate and rhythm, and his pulmonary exam is clear to auscultation bilaterally. Abdominal exam is notable for an obese abdomen without tenderness to palpation. Which of the following is an appropriate treatment for this patient's condition?","A 72-year-old woman presents to the emergency department when she discovered a large volume of blood in her stool. She states that she was going to the bathroom when she saw a large amount of bright red blood in the toilet bowl. She was surprised because she did not feel pain and felt it was a normal bowel movement. The patient has a past medical history of diabetes, obesity, hypertension, anxiety, fibromyalgia, diabetic nephropathy, and schizotypal personality disorder. Her current medications include atorvastatin, lisinopril, metformin, insulin, clonazepam, gabapentin, sodium docusate, polyethylene glycol, fiber supplements, and ibuprofen. Her temperature is 99.5°F (37.5°C), blood pressure is 132/84 mmHg, pulse is 80/min, respirations are 11/min, and oxygen saturation is 96% on room air. On physical exam, the patient's cardiac exam reveals a normal rate and rhythm, and her pulmonary exam is clear to auscultation bilaterally. Abdominal exam is notable for an obese abdomen without tenderness to palpation. Which of the following is an appropriate treatment for this patient's condition","['Cautery of an arteriovenous malformation', 'IV fluids and NPO', 'NPO, ciprofloxacin, and metronidazole', 'Surgical excision of poorly differentiated tissue', 'Surgical resection of a blood vessel']",1
"A mother brings her 10 month-old boy to the pediatrician for a check-up. His birth was without complications and his development to-date has been progressing normally. He currently crawls, pulls himself up to standing, says 'mama' and 'dada' nonspecifically, and responds when called by his name. However, his mother is concerned, as she has noted over the past several weeks that he has periods where he stops breathing when he gets frightened or upset. These episodes last for 20-30 seconds and are accompanied by his lips and face become bluish. His breathing has always resumed normally within 45 seconds after the start of the episode, and he acts normally afterwards. One instance resulted in the child passing out for a 5-10 seconds before a spontaneous recovery. Which of the following is the most appropriate management of this patient's condition?","A father brings his 10 month-old girl to the pediatrician for a check-up. Her birth was without complications and her development to-date has been progressing normally. She currently crawls, pulls herself up to standing, says 'mama' and 'dada' nonspecifically, and responds when called by her name. However, her father is concerned, as he has noted over the past several weeks that she has periods where she stops breathing when she gets frightened or upset. These episodes last for 20-30 seconds and are accompanied by her lips and face becoming bluish. Her breathing has always resumed normally within 45 seconds after the start of the episode, and she acts normally afterwards. One instance resulted in the child passing out for a 5-10 seconds before a spontaneous recovery. Which of the following is the most appropriate management of this patient's condition?","['Education and reassurance of the mother', 'Echocardiogram', 'Electroencephalogram', 'Basic metabolic panel', 'Lung spirometry']",0
"A 41-year-old African American man presents to his primary care physician a few months after being found to have a blood pressure of 152/95 mmHg. The patient denies any current symptoms, having any past medical history, or prior hospitalizations. He does not take any medications but takes one multivitamin daily. His blood pressures on three separate occasions have been 151/93 mmHg, 150/90 mmHg, and 155/97 mmHg. In today’s visit, his blood pressure is 149/91 mmHg despite exercise and dietary modifications. Physical examination is unremarkable. After extensive work-up he is started on appropriate monotherapy for his hypertension. Which of the following laboratory abnormalities may be found on follow-up testing?","A 41-year-old African American woman presents to her primary care physician a few months after being found to have a blood pressure of 152/95 mmHg. The patient denies any current symptoms, having any past medical history, or prior hospitalizations. She does not take any medications but takes one multivitamin daily. Her blood pressures on three separate occasions have been 151/93 mmHg, 150/90 mmHg, and 155/97 mmHg. In today’s visit, her blood pressure is 149/91 mmHg despite exercise and dietary modifications. Physical examination is unremarkable. After extensive work-up she is started on appropriate monotherapy for her hypertension. Which of the following laboratory abnormalities may be found on follow-up testing?","['Hypercalcemia', 'Hyperkalemia', 'Hypermagnesemia', 'Hypolipidemia', 'Hypouricemia']",0
"A 12-year-old boy is brought to the emergency department late at night by his worried mother. She says he has not been feeling well since this morning after breakfast. He skipped both lunch and dinner. He complains of abdominal pain as he points towards his lower abdomen but says that the pain initially started at the center of his belly. His mother adds that he vomited once on the way to the hospital. His past medical history is noncontributory and his vaccinations are up to date. His temperature is 38.1°C (100.6°F), pulse is 98/min, respirations are 20/min, and blood pressure is 110/75 mm Hg. Physical examination reveals right lower quadrant tenderness. The patient is prepared for laparoscopic abdominal surgery. Which of the following structures is most likely to aid the surgeons in finding the source of this patient's pain and fever?","A 12-year-old girl is brought to the emergency department late at night by her worried father. He says she has not been feeling well since this morning after breakfast. She skipped both lunch and dinner. She complains of abdominal pain as she points towards her lower abdomen but says that the pain initially started at the center of her belly. Her father adds that she vomited once on the way to the hospital. Her past medical history is noncontributory and her vaccinations are up to date. Her temperature is 38.1°C (100.6°F), pulse is 98/min, respirations are 20/min, and blood pressure is 110/75 mm Hg. Physical examination reveals right lower quadrant tenderness. The patient is prepared for laparoscopic abdominal surgery. Which of the following structures is most likely to aid the surgeons in finding the source of this patient's pain and fever?","['Teniae coli', ""McBurney's point"", 'Transumbilical plane', 'Linea Semilunaris', 'Arcuate line']",0
A 10-year-old child is sent to the school psychologist in May because he refuses to comply with the class rules. His teacher says this has been going on since school started back in August. He gets upset at the teacher regularly when he is told to complete a homework assignment in class. Sometimes he refuses to complete them altogether. Several of his teachers have reported that he intentionally creates noises in class to interrupt the class. He tells the psychologist that the teacher and his classmates are at fault. What is the most appropriate treatment?,A 10-year-old child is sent to the school psychologist in May because she refuses to comply with the class rules. Her teacher says this has been going on since school started back in August. She gets upset at the teacher regularly when she is told to complete a homework assignment in class. Sometimes she refuses to complete them altogether. Several of her teachers have reported that she intentionally creates noises in class to interrupt the class. She tells the psychologist that the teacher and her classmates are at fault. What is the most appropriate treatment?,"['Administration of clozapine', 'Administration of lithium', 'Cognitive-behavioral therapy', 'Interpersonal therapy', 'Motivational interviewing']",2
"A 5-year-old boy is brought to the physician by his parents for the evaluation of an episode of loss of consciousness while he was playing soccer earlier that morning. He was unconscious for about 15 seconds and did not shake, bite his tongue, or lose bowel or bladder control. He has been healthy except for 1 episode of simple febrile seizure. His father died suddenly at the age of 34 of an unknown heart condition. The patient does not take any medications. He is alert and oriented. His temperature is 37°C (98.6°F), pulse is 95/min and regular, and blood pressure is 90/60 mm Hg. Physical examination shows no abnormalities. Laboratory studies are within normal limits. An ECG shows sinus rhythm and a QT interval corrected for heart rate (QTc) of 470 milliseconds. Which of the following is the most appropriate next step in treatment?","A 5-year-old girl is brought to the physician by her parents for the evaluation of an episode of loss of consciousness while she was playing soccer earlier that morning. She was unconscious for about 15 seconds and did not shake, bite her tongue, or lose bowel or bladder control. She has been healthy except for 1 episode of simple febrile seizure. Her mother died suddenly at the age of 34 of an unknown heart condition. The patient does not take any medications. She is alert and oriented. Her temperature is 37°C (98.6°F), pulse is 95/min and regular, and blood pressure is 90/60 mm Hg. Physical examination shows no abnormalities. Laboratory studies are within normal limits. An ECG shows sinus rhythm and a QT interval corrected for heart rate (QTc) of 470 milliseconds. Which of the following is the most appropriate next step in treatment?","['Propranolol', 'Implantable cardioverter defibrillator', 'Procainamide', 'Magnesium sulfate', 'Amiodarone']",0
"A 37-year-old man is brought to the emergency department by police after being found naked outside a government building. He is accompanied by his wife who reports that he has been having “crazy” ideas. The patient’s speech is pressured and he switches topics quickly from how he is going to be president one day to how he is going to learn 20 languages fluently by the end of the year. Upon further questioning, it is revealed that he has struggled with at least 2 depressive episodes in the past year. His medical history is significant for hypertension, hyperlipidemia, gout, and chronic migraines. He was recently diagnosed with a urinary tract infection and given nitrofurantoin. He has also been taking indomethacin for an acute gout flare. His other medications include atorvastatin, allopurinol, metoprolol, and acetazolamide. He is prescribed lithium and instructed to follow-up with a primary care physician. At a follow-up appointment, he complains of nausea, vomiting, and increased urinary frequency. On examination, he has a coarse tremor and diffuse hyperreflexia. Which of the following medications is most likely is responsible for the patient’s current presentation?","A 37-year-old woman is brought to the emergency department by police after being found naked outside a government building. She is accompanied by her husband who reports that she has been having “crazy” ideas. The patient’s speech is pressured and she switches topics quickly from how she is going to be president one day to how she is going to learn 20 languages fluently by the end of the year. Upon further questioning, it is revealed that she has struggled with at least 2 depressive episodes in the past year. Her medical history is significant for hypertension, hyperlipidemia, gout, and chronic migraines. She was recently diagnosed with a urinary tract infection and given nitrofurantoin. She has also been taking indomethacin for an acute gout flare. Her other medications include atorvastatin, allopurinol, metoprolol, and acetazolamide. She is prescribed lithium and instructed to follow-up with a primary care physician. At a follow-up appointment, she complains of nausea, vomiting, and increased urinary frequency. On examination, she has a coarse tremor and diffuse hyperreflexia. Which of the following medications is most likely is responsible for the patient’s current presentation?","['Acetazolamide', 'Atorvastatin', 'Indomethacin', 'Metoprolol', 'Nitrofurantoin']",2
"A 58-year-old Caucasian man visits his primary care physician for an annual check-up. He has a history of type 2 diabetes mellitus and stage 3A chronic kidney disease. His estimated glomerular filtration rate has not changed since his last visit. Today, his parathyroid levels are moderately elevated. He lives at home with his wife and 2 children and works as a bank clerk. His vitals are normal, and his physical examination is unremarkable. Which of the following explains this new finding?","A 58-year-old Caucasian woman visits her primary care physician for an annual check-up. She has a history of type 2 diabetes mellitus and stage 3A chronic kidney disease. Her estimated glomerular filtration rate has not changed since her last visit. Today, her parathyroid levels are moderately elevated. She lives at home with her husband and 2 children and works as a bank clerk. Her vitals are normal, and her physical examination is unremarkable. Which of the following explains this new finding?","['Phosphate retention', 'Hyperuricemia', 'Acidemia', 'Hypercalcemia', 'Uremia']",0
"A 14-year-old boy presents to his pediatrician with complaints of repeated jerking of his neck for the past 2 years. Initially, his parents considered it a sign of discomfort in his neck, but later they noticed that the jerking was more frequent when he was under emotional stress or when he was fatigued. The patient says he can voluntarily control the jerking in some social situations, but when he is under stress, he feels the urge to jerk his neck and he feels better after that. The parents also report that during the past year, there have even been a few weeks when the frequency of the neck jerking had decreased drastically, only to increase again afterwards. On physical examination, he is a physically healthy male with normal vital signs. His neurologic examination is normal. The pediatrician also notes that when she makes certain movements, the patient partially imitates these movements. The parents are very much concerned about his abnormal movements and insist on a complete diagnostic work-up. After a detailed history, physical examination, and laboratory investigations, the pediatrician confirms the diagnosis of Tourette syndrome. The presence of which of the following findings is most likely to confirm the pediatrician’s diagnosis?","A 14-year-old girl presents to her pediatrician with complaints of repeated jerking of her neck for the past 2 years. Initially, her parents considered it a sign of discomfort in her neck, but later they noticed that the jerking was more frequent when she was under emotional stress or when she was fatigued. The patient says she can voluntarily control the jerking in some social situations, but when she is under stress, she feels the urge to jerk her neck and she feels better after that. The parents also report that during the past year, there have even been a few weeks when the frequency of the neck jerking had decreased drastically, only to increase again afterwards. On physical examination, she is a physically healthy female with normal vital signs. Her neurologic examination is normal. The pediatrician also notes that when he makes certain movements, the patient partially imitates these movements. The parents are very much concerned about her abnormal movements and insist on a complete diagnostic work-up. After a detailed history, physical examination, and laboratory investigations, the pediatrician confirms the diagnosis of Tourette syndrome. The presence of which of the following findings is most likely to confirm the pediatrician’s diagnosis?","['History of repeated bouts of unprovoked obscene speech over the past year', 'Rigidity and bradykinesia', 'Low serum ceruloplasmin level', 'Decreased caudate volumes in magnetic resonance imaging (MRI) of the brain', 'Increased activity in frontal subcortical regions in positron-emission tomography (PET) study']",0
"The division chief of general internal medicine at an academic medical center is interested in reducing 30-day readmissions for diabetic ketoacidosis (DKA) in elderly patients. His research team decided to follow 587 patients over the age of 65 who have recently been admitted to the hospital for DKA for a 30-day period. At the end of 30 days, he identified 100 patients who were readmitted to the hospital and examined risk factors associated with readmission. The main results of his study are summarized in the table below.
RR (95% CI) P-value
Episodes of DKA in the past 3 years < 0.001
None Reference
1–2
1.23 (1.04–1.36)
3–4 1.48 (1.38–1.59)
5+ 2.20 (1.83–2.51)
Which of the following aspects of the results would support a causal relationship between a history of DKA and 30-day readmission risk for DKA?","The division chief of general internal medicine at an academic medical center is interested in reducing 30-day readmissions for diabetic ketoacidosis (DKA) in elderly patients. Her research team decided to follow 587 patients over the age of 65 who have recently been admitted to the hospital for DKA for a 30-day period. At the end of 30 days, she identified 100 patients who were readmitted to the hospital and examined risk factors associated with readmission. The main results of her study are summarized in the table below.
RR (95% CI) P-value
Episodes of DKA in the past 3 years < 0.001
None Reference
1–2
1.23 (1.04–1.36)
3–4 1.48 (1.38–1.59)
5+ 2.20 (1.83–2.51)
Which of the following aspects of the results would support a causal relationship between a history of DKA and 30-day readmission risk for DKA?""","['Low p-value', 'Confidence intervals that do not cross 1.0', 'Case-control study design', 'High odds ratio', 'Dose-response relationship']",4
"A 72-year-old man presents to the emergency department with severe respiratory distress. He was diagnosed with metastatic pancreatic cancer 6 months ago and underwent 2 rounds of chemotherapy. He says that he has had a cough and flu-like symptoms for the past week. During the interview, he is having progressive difficulty answering questions and suddenly becomes obtunded with decreased motor reflexes. His temperature is 38.8°C (102.0°F), blood pressure is 90/60 mm Hg, pulse is 94/min, and respirations are 22/min. Pulse oximetry is 82% on room air. The patient’s medical record contains an advanced directive stating that he would like all interventions except for cardiopulmonary resuscitation. Which of the following is the most appropriate next step in management?","A 72-year-old woman presents to the emergency department with severe respiratory distress. She was diagnosed with metastatic pancreatic cancer 6 months ago and underwent 2 rounds of chemotherapy. She says that she has had a cough and flu-like symptoms for the past week. During the interview, she is having progressive difficulty answering questions and suddenly becomes obtunded with decreased motor reflexes. Her temperature is 38.8°C (102.0°F), blood pressure is 90/60 mm Hg, pulse is 94/min, and respirations are 22/min. Pulse oximetry is 82% on room air. The patient’s medical record contains an advanced directive stating that she would like all interventions except for cardiopulmonary resuscitation. Which of the following is the most appropriate next step in management?","['Observe and monitor vital signs for improvement.', 'Administer intravenous fluids.', 'Intubate and administer intravenous antibiotics.', 'Administer intravenous antibiotics and draw blood for testing.', 'Intubate only.']",2
"A 35-year-old man comes to the physician because of a 3-month history of worsening fatigue. He has difficulty concentrating at work despite sleeping well most nights. Three years ago, he was diagnosed with Crohn disease. He has about 7 non-bloody, mildly painful bowel movements daily. His current medications include 5-aminosalicylic acid and topical budesonide. He does not smoke or drink alcohol. He appears pale. His temperature is 37.9°C (100.2°F), pulse is 92/min, and blood pressure is 110/65 mmHg. The abdomen is diffusely tender to palpation, with no guarding. Laboratory results show:
Hemoglobin 10.5 g/dL
Mean corpuscular volume 83 μm3
Reticulocytes 0.2 %
Platelets 189,000/mm3
Serum
Iron 21 μg/dL
Total iron binding capacity 176 μg/dL (N=240–450)
A blood smear shows anisocytosis. Which of the following is the most appropriate next step in treatment?","A 35-year-old woman comes to the physician because of a 3-month history of worsening fatigue. She has difficulty concentrating at work despite sleeping well most nights. Three years ago, she was diagnosed with Crohn disease. She has about 7 non-bloody, mildly painful bowel movements daily. Her current medications include 5-aminosalicylic acid and topical budesonide. She does not smoke or drink alcohol. She appears pale. Her temperature is 37.9°C (100.2°F), pulse is 92/min, and blood pressure is 110/65 mmHg. The abdomen is diffusely tender to palpation, with no guarding. Laboratory results show:
Hemoglobin 10.5 g/dL
Mean corpuscular volume 83 μm3
Reticulocytes 0.2 %
Platelets 189,000/mm3
Serum
Iron 21 μg/dL
Total iron binding capacity 176 μg/dL (N=240–450)
A blood smear shows anisocytosis. Which of the following is the most appropriate next step in treatment?""","['Oral prednisone therapy', 'Subcutaneous erythropoietin injection', 'Red blood cell transfusion', 'Intravenous metronidazole therapy', 'Oral vitamin B12 supplementation']",0
A 57-year-old man is admitted to the intensive care unit for management of shock. His pulse is feeble and blood pressure is 86/45 mm Hg. The patient undergoes pulmonary artery catheterization which shows an elevated pulmonary capillary wedge pressure and increased systemic vascular resistance. Which of the following additional findings is most likely in this patient?,A 57-year-old woman is admitted to the intensive care unit for management of shock. Her pulse is feeble and blood pressure is 86/45 mm Hg. The patient undergoes pulmonary artery catheterization which shows an elevated pulmonary capillary wedge pressure and increased systemic vascular resistance. Which of the following additional findings is most likely in this patient?,"['Cold skin due to loss of intravascular fluid volume', 'Bradycardia due to neurologic dysfunction', 'Bronchospasm due to excessive histamine release', 'Mottled skin due to release of endotoxins', 'Confusion due to decreased stroke volume']",4
"A 30-year-old man comes to the physician because of a 1-month history of intermittent abdominal pain, flatulence, and watery diarrhea. The episodes typically occur 2–3 hours after meals, particularly following ingestion of ice cream, cheese, and pizza. He is administered 50 g of lactose orally. Which of the following changes is most likely to be observed in this patient?","A 30-year-old woman comes to the physician because of a 1-month history of intermittent abdominal pain, flatulence, and watery diarrhea. The episodes typically occur 2–3 hours after meals, particularly following ingestion of ice cream, cheese, and pizza. She is administered 50 g of lactose orally. Which of the following changes is most likely to be observed in this patient?","['Decreased urinary D-xylose concentration', 'Increased serum glucose concentration', 'Increased stool osmotic gap', 'Decreased fecal fat content', 'Decreased breath hydrogen content']",2
"A previously healthy 1-year-old boy is brought to the emergency department because of irritability and fever for 2 days. His symptoms began shortly after returning from a family trip to Canada. He was born at term. His immunizations are up-to-date. His 6-year-old brother is healthy and there is no family history of serious illness. The boy appears weak and lethargic. He is at the 50th percentile for height and 75th percentile for weight. His temperature is 39.2°C (102.5°F), pulse is 110/min, respirations are 28/min, and blood pressure is 92/55 mm Hg. Physical examination shows several purple spots over the trunk and extremities that are 1 mm in diameter. Capillary refill time is 4 seconds. The remainder of the examination shows no abnormalities. His hemoglobin concentration is 12 g/dL, leukocyte count is 19,000/mm3, and platelet count is 225,000/mm3. A lumbar puncture is done; cerebrospinal fluid (CSF) analysis shows abundant segmented neutrophils, decreased glucose concentration, and an increased protein concentration. Which of the following is the most appropriate next step in management?","A previously healthy 1-year-old girl is brought to the emergency department because of irritability and fever for 2 days. Her symptoms began shortly after returning from a family trip to Canada. She was born at term. Her immunizations are up-to-date. Her 6-year-old sister is healthy and there is no family history of serious illness. The girl appears weak and lethargic. She is at the 50th percentile for height and 75th percentile for weight. Her temperature is 39.2°C (102.5°F), pulse is 110/min, respirations are 28/min, and blood pressure is 92/55 mm Hg. Physical examination shows several purple spots over the trunk and extremities that are 1 mm in diameter. Capillary refill time is 4 seconds. The remainder of the examination shows no abnormalities. Her hemoglobin concentration is 12 g/dL, leukocyte count is 19,000/mm3, and platelet count is 225,000/mm3. A lumbar puncture is done; cerebrospinal fluid (CSF) analysis shows abundant segmented neutrophils, decreased glucose concentration, and an increased protein concentration. Which of the following is the most appropriate next step in management?","['Ampicillin therapy for the patient and ciprofloxacin prophylaxis for close contacts', 'Cefotaxime and vancomycin therapy for the patient and doxycycline prophylaxis for close contacts', 'Vancomycin therapy for the patient and rifampin prophylaxis for close contacts', 'Ceftriaxone and vancomycin therapy for the patient and rifampin prophylaxis for close contacts', 'Cefotaxime and vancomycin therapy for the patient and no prophylaxis for close contacts\n""']",3
"A 56-year-old man is brought to the emergency department after falling 16 feet from a ladder. He has severe pain in both his legs and his right arm. He appears pale and diaphoretic. His temperature is 37.5°C (99.5°F), pulse is 120/min and weak, respirations are 26/min, and blood pressure is 80/50 mm Hg. He opens his eyes and withdraws in response to painful stimuli and makes incomprehensible sounds. The abdomen is soft and nontender. All extremities are cold, with 1+ pulses distally. Arterial blood gas analysis on room air shows:
pH 7.29
PCO2 33 mm Hg
PO2 65 mm Hg
HCO3- 15 mEq/L
A CT scan shows displaced fractures of the pelvic ring, as well as fractures of both tibiae, the right distal radius, and right proximal humerus. The patient undergoes emergent open reduction and is admitted to the intensive care unit. Which of the following best indicates inadequate fluid resuscitation?""","A 56-year-old woman is brought to the emergency department after falling 16 feet from a ladder. She has severe pain in both her legs and her right arm. She appears pale and diaphoretic. Her temperature is 37.5°C (99.5°F), pulse is 120/min and weak, respirations are 26/min, and blood pressure is 80/50 mm Hg. She opens her eyes and withdraws in response to painful stimuli and makes incomprehensible sounds. The abdomen is soft and nontender. All extremities are cold, with 1+ pulses distally. Arterial blood gas analysis on room air shows:
pH 7.29
PCO2 33 mm Hg
PO2 65 mm Hg
HCO3- 15 mEq/L
A CT scan shows displaced fractures of the pelvic ring, as well as fractures of both tibiae, the right distal radius, and right proximal humerus. The patient undergoes emergent open reduction and is admitted to the intensive care unit. Which of the following best indicates inadequate fluid resuscitation?","['High pulse pressure', 'Urine output of 25 mL in 3 hours', 'Glasgow coma score of 8', 'Capillary refill time of 3 seconds', 'Base deficit of 1 mmol/L\n""']",1
"A 72-year-old man comes to the physician with his son for a follow-up examination. The son reports that his father's mental status has declined since the previous visit when he was diagnosed with Alzheimer dementia. The patient often begins tasks and forgets what he was doing. He has increased trouble remembering events that occurred the day before and sometimes forgets names of common household objects. He has hypertension and hyperlipidemia. His current medications include lisinopril, hydrochlorothiazide, atorvastatin, and donepezil. He is confused and oriented only to person. He is unable to count serial sevens backward from 100. He is able to register 3 items but unable to recall them 5 minutes later. Which of the following is the most appropriate pharmacotherapy?","A 72-year-old woman comes to the physician with her daughter for a follow-up examination. The daughter reports that her mother's mental status has declined since the previous visit when she was diagnosed with Alzheimer dementia. The patient often begins tasks and forgets what she was doing. She has increased trouble remembering events that occurred the day before and sometimes forgets names of common household objects. She has hypertension and hyperlipidemia. Her current medications include lisinopril, hydrochlorothiazide, atorvastatin, and donepezil. She is confused and oriented only to person. She is unable to count serial sevens backward from 100. She is able to register 3 items but unable to recall them 5 minutes later. Which of the following is the most appropriate pharmacotherapy?","['Risperidone', 'Ginkgo biloba', 'Citalopram', 'Memantine', 'Vitamin E']",3
"A 55-year-old man comes to the physician because of fever, chills, headache, and nausea over the past 3 days. Nine months ago, he returned from a vacation in Indonesia where he had experienced similar symptoms and episodic fever. He was treated with chloroquine and recovered uneventfully. His temperature is 39.1°C (102.4°F), pulse is 97/min, and blood pressure is 123/85 mm Hg. Physical examination shows scleral icterus. The abdomen is soft; bowel sounds are active. Neurologic examination is unremarkable. His hemoglobin concentration is 10 g/dL. A photomicrograph of a peripheral blood smear is shown. Which of the following is the most likely cause of the recurrence of symptoms in this patient?","A 55-year-old woman comes to the physician because of fever, chills, headache, and nausea over the past 3 days. Nine months ago, she returned from a vacation in Indonesia where she had experienced similar symptoms and episodic fever. She was treated with chloroquine and recovered uneventfully. Her temperature is 39.1°C (102.4°F), pulse is 97/min, and blood pressure is 123/85 mm Hg. Physical examination shows scleral icterus. The abdomen is soft; bowel sounds are active. Neurologic examination is unremarkable. Her hemoglobin concentration is 10 g/dL. A photomicrograph of a peripheral blood smear is shown. Which of the following is the most likely cause of the recurrence of symptoms in this patient?","['Decline in circulating antibodies', 'Reinfection by Anopheles mosquito', 'Natural drug resistance', 'Reactivation of dormant liver stage', 'Dissemination within macrophages']",3
